REG,PREF,SPREF,DIST,SPREF4,DIST6,LANG_D,LANGLIB,DIST_D,LAT_D,LONG_D,ALT_D,NLIG_S,NOMS_STRUCTURES,STAT_S,TYPE_S,LITS,MEDECINS,INFIRMIERS,SAGEFEM,ATS,AUTRES,LAT_S,LONG_S,ALT_S
Nzérékoré  8,Gueckédou 82 ,1.0,9.0,8201.0,820109.0,4.0, ,18.0,8.86242,10.19327,482.0,2.0,CENTRE DE SOIN PRIVEE MANO,2.0,1.0,,,,,1.0,,8.87838,-10.18331,456.0
Nzérékoré  8,Macenta 84,1.0,4.0,8401.0,840104.0,6.0, ,8.0,8.64225,9.63808,585.0,1.0,Dispensaire catholique de Kolouma,2.0,1.0,,,,1.0,1.0,,8.64361,-9.63845,583.0
Labe      6,Labe       62,9.0,17.0,6209.0,620917.0,2.0, ,2.0,11.30743,12.27231,1052.0,1.0,Cabinet privé de soin,2.0,1.0,,,,,1.0,,11.30818,-12.27291,1068.0
Kindia    5,Coyah     51,3.0,4.0,5103.0,510304.0,1.0, ,9.0,9.72239,13.47609,70.0,1.0,Soins médicaux la vie,2.0,1.0,2.0,1.0,,,,,9.71232,-13.48956,58.0
Kindia    5,Coyah     51,3.0,4.0,5103.0,510304.0,1.0, ,9.0,9.72239,13.47609,70.0,2.0,"Cabinet médical consultation,accouchemen",2.0,1.0,,,,1.0,,,9.72035,-13.48391,78.0
Kindia    5,Coyah     51,3.0,4.0,5103.0,510304.0,1.0, ,9.0,9.72239,13.47609,70.0,3.0,Centre de soins médicaux,2.0,1.0,2.0,1.0,1.0,,,,9.72269,-13.47747,67.0
Kindia    5,Coyah     51,3.0,4.0,5103.0,510304.0,1.0, ,9.0,9.72239,13.47609,70.0,4.0,Centre de soins Béa,2.0,1.0,3.0,1.0,2.0,,,,9.72265,-13.47592,58.0
Kindia    5,Coyah     51,3.0,12.0,5103.0,510312.0,1.0, ,15.0,9.70478,13.49671,54.0,2.0,Cabinet de soins long Avosé,2.0,1.0,6.0,1.0,3.0,,1.0,,,,
Kindia    5,Coyah     51,3.0,10.0,5103.0,510310.0,, ,17.0,9.69481,13.50564,36.0,1.0,Cabinet médical camara et frères,2.0,1.0,3.0,2.0,2.0,,,1.0,9.69047,-13.50998,63.0
Kindia    5,Coyah     51,3.0,10.0,5103.0,510310.0,, ,17.0,9.69481,13.50564,36.0,2.0,Jean kouloba,2.0,1.0,7.0,1.0,1.0,1.0,1.0,,9.68933,-13.50595,41.0
Kindia    5,Coyah     51,3.0,10.0,5103.0,510310.0,, ,17.0,9.69481,13.50564,36.0,3.0,Cabinet de sage femme,2.0,1.0,4.0,1.0,,1.0,,1.0,9.69294,-13.50363,31.0
Kindia    5,Coyah     51,3.0,10.0,5103.0,510310.0,, ,17.0,9.69481,13.50564,36.0,4.0,Cabinet de soins de Fanko,2.0,1.0,3.0,1.0,,,,1.0,9.68946,-13.51491,93.0
Kindia    5,Coyah     51,3.0,3.0,5103.0,510303.0,2.0, ,19.0,9.67921,13.51586,60.0,2.0,Clinique CBA,2.0,1.0,4.0,,2.0,,,,9.67399,-13.51146,27.0
Kindia    5,Coyah     51,3.0,8.0,5103.0,510308.0,1.0, ,21.0,9.67145,13.52683,62.0,2.0,Centre médical de lansanaya,2.0,1.0,4.0,2.0,1.0,1.0,2.0,,9.6711,-13.52532,44.0
Kindia    5,Coyah     51,3.0,8.0,5103.0,510308.0,1.0, ,21.0,9.67145,13.52683,62.0,4.0,Clinique wendou chez dr Diallo,2.0,1.0,3.0,1.0,,,,,9.67545,-13.51738,49.0
Kindia    5,Dubréka     52,2.0,13.0,5202.0,520213.0,1.0, ,,9.7911,13.51828,19.0,1.0,DISPENSAIRE D ORPHELINAT,2.0,1.0,6.0,1.0,2.0,,,,9.79177,-13.5124,28.0
Kindia    5,Dubréka     52,2.0,1.0,5202.0,520201.0,1.0, ,17.0,9.6895,13.53937,133.0,2.0,CABINET MEDICO-SOCIOTABATIERE ANATOMIQUE,2.0,1.0,3.0,1.0,,,,,9.67855,-13.54069,111.0
Kindia    5,Dubréka     52,2.0,19.0,5202.0,520219.0,1.0, ,13.0,9.71397,13.50037,96.0,1.0,CABINET DE SOINS MEDICO-MODERNE,2.0,1.0,4.0,,,,1.0,,9.71778,-13.51249,80.0
Kindia    5,Dubréka     52,2.0,10.0,5202.0,520210.0,1.0, ,15.0,9.70527,13.51206,101.0,1.0,CENTRE DE SOINS MEDICAUX TRADISPIRITUELS,2.0,1.0,47.0,,,,2.0,1.0,9.70868,-13.51096,97.0
Kindia    5,Dubréka     52,2.0,14.0,5202.0,520214.0,1.0, ,5.0,9.78658,13.48705,31.0,1.0,CABINET MEDICAL ESPOIR,2.0,1.0,3.0,1.0,,,,,9.78833,-13.4863,39.0
Kindia    5,Télimélé    55,11.0,3.0,5511.0,551103.0,2.0, ,25.0,10.71684,13.2255,592.0,1.0,PS,2.0,1.0,,,,,1.0,1.0,10.71507,-13.22509,617.0
4.0,41.0,5.0,21.0,4105.0,410521.0,3.0, ,,10.38462,9.29504,378.0,1.0,CABINET MEDICAL METEO (KALIMA),2.0,1.0,,2.0,,2.0,2.0,3.0,10.39265,-9.29308,386.0
4.0,41.0,5.0,14.0,4105.0,410514.0,3.0, ,,10.38177,9.32174,384.0,1.0,ETABLISSEMENT DE SOINS HEREMAKONO 2,2.0,1.0,,,1.0,,2.0,,10.38225,-9.31286,386.0
2.0,21.0,5.0,8.0,2105.0,210508.0,2.0, ,3.0,9.57653,13.64114,101.0,1.0,CENTRE MEDICAL SOCIAL YOUGOUTOH,2.0,1.0,,2.0,2.0,1.0,4.0,1.0,9.57178,-13.64179,74.0
2.0,21.0,5.0,8.0,2105.0,210508.0,2.0, ,3.0,9.57653,13.64114,101.0,2.0,CENTRE MEDICAL BALKAN,2.0,1.0,,5.0,3.0,,,2.0,9.56945,-13.64542,65.0
2.0,21.0,5.0,9.0,2105.0,210509.0,2.0, ,3.0,9.58281,13.62827,96.0,1.0,CABINET DE SOIN JIN RIAMO,2.0,1.0,,1.0,1.0,2.0,1.0,,9.58667,-13.63266,120.0
2.0,21.0,5.0,28.0,2105.0,210528.0,, ,7.0,9.66225,13.59647,26.0,1.0,CABINET MEDICAL LA GRACE,2.0,1.0,2.0,,1.0,,,,9.65197,-13.60242,18.0
2.0,21.0,5.0,15.0,2105.0,210515.0,2.0, ,,9.59984,13.6162,101.0,4.0,CENTRE MEDICAL AMIRA,2.0,1.0,,4.0,,,,1.0,9.59955,-13.61398,103.0
2.0,21.0,5.0,24.0,2105.0,210524.0,1.0, ,,9.64261,13.6055,44.0,1.0,CM ESPERANCE SANTE,2.0,1.0,,4.0,2.0,,1.0,,9.60885,-13.64529,33.0
2.0,21.0,5.0,31.0,2105.0,210531.0,1.0, ,24.0,9.68182,13.57096,18.0,2.0,Cabinet de soins privé,2.0,1.0,,,,,4.0,,9.68108,-13.57732,21.0
2.0,21.0,5.0,27.0,2105.0,210527.0,2.0, ,10.0,9.64115,13.58907,119.0,1.0,Cabinet Social medical Wanidara III,2.0,1.0,4.0,1.0,1.0,1.0,,,9.63287,-13.59053,131.0
2.0,21.0,5.0,33.0,2105.0,210533.0,2.0, ,12.0,9.67633,13.54753,128.0,1.0,ETABLISSEMENT DE SOINT MARTIN HAFIA I,2.0,1.0,4.0,12.0,2.0,,3.0,1.0,9.67967,-13.55386,103.0
2.0,21.0,5.0,34.0,2105.0,210534.0,1.0, ,10.0,9.6668,13.56615,60.0,1.0,CENTRE DE SANTE DE KALIMA SECTEUR 3,2.0,1.0,,1.0,2.0,1.0,3.0,1.0,9.6623,-13.56623,79.0
2.0,21.0,5.0,34.0,2105.0,210534.0,1.0, ,10.0,9.6668,13.56615,60.0,2.0,ONG MEDIO SOCIALE LA PITIE SECT ECOLE JA,2.0,1.0,,1.0,,1.0,1.0,1.0,9.66978,-13.55841,86.0
2.0,21.0,5.0,34.0,2105.0,210534.0,1.0, ,10.0,9.6668,13.56615,60.0,3.0,CENTRE MEDICAL LES CHESUBANS SECTEUR 2,2.0,1.0,,6.0,1.0,1.0,3.0,5.0,9.66594,-13.56065,98.0
2.0,21.0,4.0,24.0,2104.0,210424.0,1.0, ,2.0,9.61849,13.59238,69.0,1.0,centre medical secteur 9,2.0,1.0,3.0,1.0,3.0,1.0,1.0,,9.62245,-13.58967,85.0
2.0,21.0,4.0,30.0,2104.0,210430.0,1.0, ,2.0,9.62761,13.58157,69.0,1.0,cabinet medical chez dr camara,2.0,1.0,1.0,1.0,,,,,9.63164,-13.57558,56.0
2.0,21.0,4.0,31.0,2104.0,210431.0,1.0, ,2.0,9.57948,13.61732,78.0,1.0,CABINET MEDICAL LANAYA,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,9.58034,-13.61515,41.0
2.0,21.0,4.0,31.0,2104.0,210431.0,1.0, ,2.0,9.57948,13.61732,78.0,4.0,CABINET DE SOINS PRIMAIRE TOURE,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,9.58244,-13.61842,62.0
2.0,21.0,4.0,17.0,2104.0,210417.0,1.0, ,4.0,9.57261,13.63272,44.0,1.0,CABINET DE SOIN DR ABDOURAMANE,2.0,1.0,4.0,4.0,2.0,,,2.0,9.56908,-13.63578,54.0
2.0,21.0,4.0,17.0,2104.0,210417.0,1.0, ,4.0,9.57261,13.63272,44.0,2.0,CABINET MEDICAL T1,2.0,1.0,1.0,1.0,,,,,9.56906,-13.63582,52.0
2.0,21.0,4.0,29.0,2104.0,210429.0,1.0, ,,9.60188,13.59966,37.0,3.0,CABI?ET MEDICAL AUNE CP,2.0,1.0,6.0,5.0,1.0,,,3.0,9.60368,-13.60077,40.0
2.0,21.0,4.0,38.0,2104.0,210438.0,1.0, ,1.0,9.59785,13.6062,62.0,4.0,CENTRE MEDICO PEBOGOGIQUE S CO MAROUANA,2.0,1.0,5.0,2.0,1.0,1.0,2.0,,9.60051,-13.60823,78.0
2.0,21.0,4.0,38.0,2104.0,210438.0,1.0, ,1.0,9.59785,13.6062,62.0,5.0,CABINET  OPHTALMOGIQUE DR HADIATOU SYLLA,2.0,1.0,,1.0,1.0,,,1.0,9.59825,-13.59876,27.0
2.0,21.0,4.0,16.0,2104.0,210416.0,1.0, ,3.0,9.57386,13.62838,52.0,2.0,CABINET DE SOINS SAINT ANDRE,2.0,1.0,5.0,2.0,,,2.0,,9.57011,-13.62984,39.0
2.0,21.0,4.0,16.0,2104.0,210416.0,1.0, ,3.0,9.57386,13.62838,52.0,3.0,ONG AMIE ES,2.0,1.0,2.0,1.0,,,1.0,,9.57176,-13.63076,45.0
2.0,21.0,4.0,16.0,2104.0,210416.0,1.0, ,3.0,9.57386,13.62838,52.0,4.0,ONG GROUPE ASSOCIATIF,2.0,1.0,3.0,2.0,,,1.0,,9.57234,-13.63081,51.0
2.0,21.0,4.0,16.0,2104.0,210416.0,1.0, ,3.0,9.57386,13.62838,52.0,5.0,ONG CABINET DE SOINS,2.0,1.0,2.0,1.0,,,1.0,,9.57437,-13.63163,59.0
2.0,21.0,4.0,15.0,2104.0,210415.0,1.0, ,3.0,9.56835,13.63286,24.0,1.0,CLINIQUE MEDICO SOCIALE,2.0,1.0,1.0,2.0,2.0,,,,9.56911,-13.63507,47.0
2.0,21.0,4.0,33.0,2104.0,210433.0,1.0, ,6.0,9.64703,13.55113,39.0,2.0,MARTHYRS PLUS SECT LOTISSEMENT,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,9.6513,-13.54804,27.0
2.0,21.0,4.0,3.0,2104.0,210403.0,1.0, ,4.0,9.58041,13.62559,81.0,2.0,CLINIQUE PRIVEE DR LOUA,2.0,1.0,,1.0,,,,,9.58173,-13.62423,85.0
2.0,21.0,4.0,35.0,2104.0,210435.0,1.0, ,1.0,9.59062,13.60025,22.0,3.0,CLINIQUE DR FRANCOIS,2.0,1.0,2.0,2.0,2.0,,,1.0,9.59074,-13.59876,17.0
2.0,21.0,4.0,35.0,2104.0,210435.0,1.0, ,1.0,9.59062,13.60025,22.0,4.0,SANTE VERS TOUS,2.0,1.0,2.0,5.0,,,,1.0,9.59181,-13.60838,62.0
2.0,21.0,4.0,9.0,2104.0,210409.0,1.0, ,4.0,9.56736,13.64235,43.0,1.0,CENTRE MEDICAL FATOU CAMARA,2.0,1.0,3.0,2.0,,,2.0,,9.56796,-13.6421,45.0
2.0,21.0,4.0,10.0,2104.0,210410.0,1.0, ,4.0,9.5655,13.64558,54.0,1.0,CABINET MEDICAL MARIAME,2.0,1.0,3.0,2.0,1.0,,,1.0,9.5664,-13.64495,55.0
2.0,21.0,4.0,10.0,2104.0,210410.0,1.0, ,4.0,9.5655,13.64558,54.0,2.0,CABINET DE SOINS M;MAH SOUMAH,2.0,1.0,2.0,2.0,,,,,9.59862,-13.6438,62.0
2.0,21.0,4.0,10.0,2104.0,210410.0,1.0, ,4.0,9.5655,13.64558,54.0,3.0,CABINET DE SOINS AMSONG,2.0,1.0,2.0,1.0,,,1.0,,9.5675,-13.64515,57.0
2.0,21.0,4.0,11.0,2104.0,210411.0,2.0, ,5.0,9.57761,13.63488,80.0,1.0,GODERICH 2,2.0,1.0,4.0,3.0,1.0,1.0,2.0,,9.5757,-13.63716,79.0
2.0,21.0,4.0,11.0,2104.0,210411.0,2.0, ,5.0,9.57761,13.63488,80.0,3.0,CABINET MEDICALE PRIVE BARRY,2.0,1.0,1.0,1.0,,,,,9.57557,-13.63353,72.0
2.0,21.0,4.0,13.0,2104.0,210413.0,1.0, ,3.0,9.57593,13.62932,72.0,1.0,CABINET MEDICAL GBESSIA ECOLE,2.0,1.0,3.0,1.0,,,,,9.57437,-13.63163,59.0
2.0,21.0,4.0,7.0,2104.0,210407.0,1.0, ,3.0,9.56168,13.63462,17.0,1.0,CABINET MEDICAL DABONDY I,2.0,1.0,1.0,1.0,,,,1.0,9.56392,-13.63642,23.0
2.0,21.0,4.0,7.0,2104.0,210407.0,1.0, ,3.0,9.56168,13.63462,17.0,3.0,CLINIQUE MASSARAN CAMARA,2.0,1.0,3.0,1.0,3.0,,2.0,,9.56387,-13.63659,21.0
2.0,21.0,4.0,18.0,2104.0,210418.0,1.0, ,4.0,9.56442,13.62894,27.0,2.0,CLINIQUE ZOWOLIE YAKPO,2.0,1.0,7.0,5.0,,,1.0,,9.56587,-13.62928,26.0
2.0,21.0,4.0,8.0,2104.0,210408.0,1.0, ,3.0,9.53472,13.64346,39.0,1.0,CABINET MEDICALE LA SANTE DABORD,2.0,1.0,1.0,1.0,,,1.0,,9.5354,-13.64383,34.0
2.0,21.0,4.0,8.0,2104.0,210408.0,1.0, ,3.0,9.53472,13.64346,39.0,2.0,CABINET DES SOINS PRIMAIRES,2.0,1.0,1.0,1.0,,,,,9.53642,-13.64812,42.0
2.0,21.0,4.0,8.0,2104.0,210408.0,1.0, ,3.0,9.53472,13.64346,39.0,3.0,CABINET MEDICALE DE ELHADJ DEMBA CONDE,2.0,1.0,3.0,2.0,,,1.0,,9.53664,-13.64474,36.0
2.0,21.0,4.0,8.0,2104.0,210408.0,1.0, ,3.0,9.53472,13.64346,39.0,4.0,ONG JEBAGUI LUTTE CONTRE LE SIDA,2.0,1.0,3.0,2.0,2.0,1.0,,,9.53654,-13.64741,35.0
2.0,21.0,4.0,6.0,2104.0,210406.0,1.0, ,4.0,9.55412,13.63412,34.0,1.0,CABINET DE SOINS ET DE PETITE CHIRURGIE,2.0,1.0,4.0,4.0,1.0,,,,9.55321,-13.6364,31.0
2.0,21.0,4.0,6.0,2104.0,210406.0,1.0, ,4.0,9.55412,13.63412,34.0,2.0,CABINET MEDICALE DECIDE,2.0,1.0,1.0,2.0,1.0,,,,9.55662,-13.63772,33.0
2.0,21.0,4.0,22.0,2104.0,210422.0,1.0, ,15.0,9.6675,13.52485,40.0,1.0,CENTRE MEDICAL LANSANAYA,2.0,1.0,3.0,,1.0,1.0,,,9.67533,-13.53065,104.0
2.0,21.0,4.0,20.0,2104.0,210420.0,1.0, ,3.0,9.6314,13.5707,32.0,1.0,ONG ASSOCIATION APPEL ISLAMIQUE,2.0,1.0,7.0,2.0,1.0,,1.0,,9.63157,-13.57112,29.0
2.0,21.0,4.0,34.0,2104.0,210434.0,1.0, ,6.0,9.65265,13.55877,89.0,1.0,CABINET DE SOINS GENICO CHIRURGIE,2.0,1.0,,,,,1.0,,9.65672,-13.55602,104.0
2.0,21.0,4.0,28.0,2104.0,210428.0,1.0, ,,9.60292,13.61031,92.0,3.0,CABINET MEDICALE DENTEC COSA,2.0,1.0,2.0,2.0,,,,,9.6075,-13.60981,101.0
2.0,21.0,3.0,21.0,2103.0,210321.0,1.0, ,,9.55252,13.64678,29.0,2.0,CABINET PRIVE DR MARCEL LENO,2.0,1.0,,1.0,,,1.0,,9.5524,-13.64668,21.0
2.0,21.0,3.0,21.0,2103.0,210321.0,1.0, ,,9.55252,13.64678,29.0,3.0,CABINET PRIVE KERFALA KEPINE BANGOURA,2.0,1.0,2.0,2.0,1.0,,,1.0,9.5523,-13.64726,21.0
2.0,21.0,3.0,21.0,2103.0,210321.0,1.0, ,,9.55252,13.64678,29.0,4.0,CABINET PRIVE DR MORIBA,2.0,1.0,5.0,1.0,,,,1.0,9.55199,-13.64504,25.0
2.0,21.0,3.0,19.0,2103.0,210319.0,1.0, ,2.0,9.53914,13.67012,23.0,2.0,CABINET MEDICO SOCIAL MAFANCO,2.0,1.0,1.0,1.0,,,,,9.54093,-13.66983,23.0
2.0,21.0,3.0,6.0,2103.0,210306.0,2.0, ,1.0,9.56224,13.6475,43.0,1.0,CABINET MEDICAL DR CELLOU CARIERE CITE,2.0,1.0,2.0,2.0,1.0,,,,9.56324,-13.64822,50.0
2.0,21.0,3.0,6.0,2103.0,210306.0,2.0, ,1.0,9.56224,13.6475,43.0,2.0,CABINET DE SOINS CARIERE CITE PRES DE PA,2.0,1.0,2.0,,1.0,,,,9.56437,-13.64904,56.0
2.0,21.0,3.0,17.0,2103.0,210317.0,1.0, ,2.0,9.54219,13.6665,26.0,2.0,CLINIQUE DR HAIDARA CHERIF ABOUBACAR,2.0,1.0,4.0,1.0,1.0,,1.0,2.0,9.53924,-13.66529,
2.0,21.0,3.0,1.0,2103.0,210301.0,1.0, ,1.0,9.55737,13.6373,8.0,1.0,CENTRE DE NUTITION ONG FASNA,2.0,1.0,1.0,2.0,4.0,1.0,2.0,,9.55587,-13.63899,16.0
2.0,21.0,3.0,1.0,2103.0,210301.0,1.0, ,1.0,9.55737,13.6373,8.0,3.0,DISPENSAIRE DU PORT,2.0,1.0,2.0,1.0,1.0,,,1.0,9.55627,-13.63723,13.0
2.0,21.0,3.0,9.0,2103.0,210309.0,1.0, ,3.0,9.53252,13.67898,19.0,1.0,ASSOCIATION DES TECHNICIENS ET PROTENSIS,2.0,1.0,,4.0,8.0,,,1.0,9.53112,-13.67883,21.0
2.0,21.0,3.0,13.0,2103.0,210313.0,1.0, ,4.0,9.52872,13.68546,12.0,2.0,CABINET DENTAIRE,2.0,1.0,,1.0,,,,2.0,9.5268,-13.6841,16.0
2.0,21.0,3.0,3.0,2103.0,210303.0,1.0, ,1.0,9.55917,13.64572,16.0,3.0,CABINET HADJA GUINET MANGUEE,2.0,1.0,5.0,1.0,,,2.0,2.0,9.55646,-13.64551,7.0
2.0,21.0,3.0,22.0,2103.0,210322.0,1.0, ,,9.55697,13.64774,29.0,3.0,ONG D'ASSISTANCE MEDICAL ET SANITAIRE GA,2.0,1.0,5.0,6.0,,1.0,,1.0,9.55784,-13.64485,25.0
2.0,21.0,3.0,16.0,2103.0,210316.0,1.0, ,1.0,9.54447,13.66507,36.0,1.0,CLINIQUE SAA (AJAM),2.0,1.0,3.0,1.0,1.0,,,,9.54411,-13.6635,33.0
2.0,21.0,3.0,2.0,2103.0,210302.0,1.0, ,1.0,9.55851,13.64119,25.0,1.0,CLINIQUE CHINOISE MEDICO CHIRURGICALE,2.0,1.0,,1.0,,,,1.0,9.55944,-13.64191,18.0
2.0,21.0,3.0,2.0,2103.0,210302.0,1.0, ,1.0,9.55851,13.64119,25.0,3.0,CABINET DE SOINS DR KOUROUMA SEKOU,2.0,1.0,1.0,1.0,,,,,9.56111,-13.63983,16.0
2.0,21.0,3.0,24.0,2103.0,210324.0,1.0, ,,9.54647,13.65662,18.0,1.0,CENTRE MEDICALPERNANY,2.0,1.0,2.0,1.0,,,,,9.54781,-13.65746,
2.0,21.0,2.0,4.0,2102.0,210204.0,1.0, ,,9.51468,13.70387,15.0,2.0,Infirmerie EDG Electricite de Guinee,2.0,1.0,,,,,,,9.51845,-13.7026,19.0
2.0,21.0,1.0,1.0,2101.0,210101.0,1.0, ,,9.55414,13.66448,18.0,1.0,Cabinet Medical Kamelia,2.0,1.0,,3.0,1.0,,2.0,2.0,9.55479,-13.66212,18.0
2.0,21.0,1.0,1.0,2101.0,210101.0,1.0, ,,9.55414,13.66448,18.0,2.0,Centre Medical M.P.T,2.0,1.0,,6.0,1.0,,,1.0,9.55552,-13.66313,28.0
2.0,21.0,1.0,2.0,2101.0,210102.0,1.0, ,,9.55769,13.66494,17.0,1.0,Centre Medical Carréfour Celibataire,2.0,1.0,,,,,,,9.55722,-13.66212,32.0
2.0,21.0,1.0,2.0,2101.0,210102.0,1.0, ,,9.55769,13.66494,17.0,2.0,Centre Medical Feu Dr charles Soumah,2.0,1.0,,7.0,3.0,1.0,1.0,,9.55798,-13.66408,28.0
2.0,21.0,1.0,14.0,2101.0,210114.0,2.0, ,,9.55931,13.65761,37.0,1.0,CABINET DE SOINS,2.0,1.0,,,,,,,9.5599,-13.65768,27.0
1.0,13.0,3.0,7.0,1303.0,130307.0,2.0, ,,10.3729,13.58218,171.0,2.0,CABINET DE SOINS MEDICAAUX LE CARREFOUR,2.0,1.0,2.0,,1.0,,,,10.37367,-13.57827,178.0
1.0,13.0,3.0,13.0,1303.0,130313.0,1.0, ,1.0,10.36291,13.58582,183.0,1.0,CABINET DE SOINS MEDICAUX HADJA OUMOU BA,2.0,1.0,3.0,,,,1.0,,10.36563,-13.59202,169.0
Nzérékoré  8,Gueckédou 82 ,10.0,4.0,8210.0,821004.0,4.0, ,5.0,8.66096,10.21548,482.0,1.0,centre de soin pvivee de kindia,1.0,1.0,,,,,,1.0,8.66134,-10.21556,494.0
Nzérékoré  8,Gueckédou 82 ,7.0,5.0,8207.0,820705.0,4.0, ,3.0,8.50391,10.30306,449.0,1.0,Etablissement des Soins Tomandou,1.0,1.0,,,1.0,,1.0,2.0,8.50396,-10.30275,445.0
Nzérékoré  8,Gueckédou 82 ,3.0,14.0,8203.0,820314.0,2.0, ,,8.56889,10.12945,438.0,2.0,etablissement des soins,1.0,1.0,,,,,1.0,,8.57129,-10.13035,443.0
Nzérékoré  8,Lola   83,7.0,8.0,8307.0,830708.0,9.0, ,7.0,7.83862,8.47816,522.0,1.0,ES DE GOH,1.0,1.0,,,,,,1.0,7.8392,-8.47888,514.0
Nzérékoré  8,Nzérékoré 85,10.0,8.0,8510.0,851008.0,5.0, ,6.0,8.07506,8.74547,457.0,1.0,Poste de santé de Zénémouda,1.0,1.0,,,,,1.0,2.0,8.07506,-8.74791,455.0
Nzérékoré  8,Nzérékoré 85,6.0,11.0,8506.0,850611.0,3.0, ,,7.762,8.8043,488.0,1.0,ETABLISSEMENT DE SOINS  DE HOROYA,1.0,1.0,,,,,2.0,2.0,7.77184,-8.80003,503.0
Mamou 7,71.0,6.0,3.0,7106.0,710603.0,2.0, ,15.0,10.95056,12.31103,755.0,1.0,CENTRE DE SANTE DE DIOURIYA CENTRE,1.0,1.0,4.0,,3.0,,,,11.00094,-12.29772,760.0
Mamou 7,71.0,5.0,8.0,7105.0,710508.0,2.0, ,7.0,11.16235,11.94944,670.0,1.0,POSTE DE SANTE DE TIORO,1.0,1.0,,,,,1.0,,11.16381,-11.95274,669.0
Mamou 7,71.0,2.0,6.0,7102.0,710206.0,2.0, ,,10.69234,12.25194,1241.0,2.0,CENTRE DE SANTE,1.0,1.0,,,2.0,1.0,,7.0,10.69217,-12.25108,1237.0
Mamou 7,Mamou  72,11.0,1.0,7211.0,721101.0,2.0, ,25.0,10.18691,11.84231,270.0,1.0,Poste de santé de Berteya,1.0,1.0,,,,,1.0,2.0,10.1845,-11.84187,277.0
Mamou 7,Mamou  72,11.0,3.0,7211.0,721103.0,2.0, ,55.0,10.20202,12.06154,655.0,1.0,Poste de santé Kenten,1.0,1.0,,,,,1.0,,10.20197,-12.06178,653.0
Mamou 7,Mamou  72,4.0,1.0,7204.0,720401.0,1.0, ,55.0,10.34961,11.70566,438.0,1.0,Poste de Santé de Hafia,1.0,1.0,,,,,1.0,,10.3511,-11.7079,443.0
Mamou 7,Mamou  72,2.0,1.0,7202.0,720201.0,2.0, ,7.0,10.46713,11.90714,687.0,1.0,POSTE DE SANTE DE ALPHAYA,1.0,1.0,,,,1.0,3.0,10.0,10.46914,-11.90971,693.0
