Nom de l'établissement,P-code de l'établissement,Nom de la sous-préfecture,P-code de la sous-préfecture,Nom de la préfecture,P-code de la préfecture,Nom de la région,P-code de la région,Public ou privé?,Latitude,Longitude
Barrage Kalé Cité,,Friguiagbe,GIN00500403,Kindia,GIN005004,Kindia,GIN005,prive,,
Barrage Kalé Cité,,Friguiagbe,GIN00500403,Kindia,GIN005004,Kindia,GIN005,prive,,
Bassara,,Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006,public,,
Bassédou,,Fangamadou,GIN00800202,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Bate-Nafadji Centre de Santé,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
Batema,,Watanka,GIN00800415,Macenta,GIN008004,Nzerekore,GIN008,public,,
Beddou,,Bolodou,GIN00800201,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Beindou,,Beindou,GIN00300302,Faranah,GIN003003,Faranah,GIN003,public,,
Beindou,,Nongoa,GIN00800207,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Bèleya,,Passaya,GIN00300308,Faranah,GIN003003,Faranah,GIN003,public,,
Béréiré,,Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005,public,,
Bergué Centre,,Sangardo,GIN00300411,Kissidougou,GIN003004,Faranah,GIN003,public,,
Bérika,,Kaliah,GIN00500307,Forecariah,GIN005003,Kindia,GIN005,public,,
Bhoundou Holladé,,Mali Ctre,GIN00600409,Mali,GIN006004,Labe,GIN006,public,,
Bhouria,,Poredaka,GIN00700209,Mamou,GIN007002,Mamou,GIN007,public,,
Bilkity,,Dinguiraye Ctre,GIN00300204,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Bilnsadé,,Douprou,GIN00100102,Boffa,GIN001001,Boke,GIN001,public,,
Binikala Centre,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,public,,
Bintimodia (Bintoumodia),,Bintimodia,GIN00100201,Boke,GIN001002,Boke,GIN001,public,,
Bissikrima Centre de Santé,,Bissikrima,GIN00300103,Dabola,GIN003001,Faranah,GIN003,public,,
Bocarea,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Bodié,,Bodie,GIN00700101,Dalaba,GIN007001,Mamou,GIN007,public,,
Bokaria Centre,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Boké Correrah (Khorera),,Boke Ctre,GIN00100202,Boke,GIN001002,Boke,GIN001,public,,
Boki,,Kounsitel,GIN00100305,Gaoual,GIN001003,Boke,GIN001,public,,
Bokoni,,Ouremai,GIN00800410,Macenta,GIN008004,Nzerekore,GIN008,public,,
Bolonde,,Boffa Ctre,GIN00100101,Boffa,GIN001001,Boke,GIN001,public,,
Boma-Nord,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Bondy,,Lisso,GIN00100105,Boffa,GIN001001,Boke,GIN001,public,,
Boo,,Seredou,GIN00800413,Macenta,GIN008004,Nzerekore,GIN008,public,,
Boola,,Boola,GIN00800102,Beyla,GIN008001,Nzerekore,GIN008,public,,
Borne Fontaine Assaballadou,,Damaro,GIN00400202,Kerouane,GIN004002,Kankan,GIN004,public,,
Bossou,,Bossou,GIN00800301,Lola,GIN008003,Nzerekore,GIN008,public,,
Botobofel (Forest ?),,Gbangbadou,GIN00300407,Kissidougou,GIN003004,Faranah,GIN003,public,,
Boudougoula,,Linsan Saran,GIN00600307,Lelouma,GIN006003,Labe,GIN006,public,,
Bougoula,,Saladou,GIN00400411,Mandiana,GIN004004,Kankan,GIN004,public,,
Bougourou,,Franwalia,GIN00400503,Siguiri,GIN004005,Kankan,GIN004,public,,
Boukaria,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Boukouna,,Kounsitel,GIN00100305,Gaoual,GIN001003,Boke,GIN001,public,,
Boula Centre de Santé,,Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004,public,,
Boula Centre de Santé,,Konsankoro,GIN00400205,Kerouane,GIN004002,Kankan,GIN004,public,,
Bouliwel,,Bouliwel,GIN00700201,Mamou,GIN007002,Mamou,GIN007,public,,
Boulléré,,Gayah,GIN00600405,Mali,GIN006004,Labe,GIN006,public,,
Boulléré,,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,public,,
Bounouma,,Bounouma,GIN00800501,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Bourkadié,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
Bouroura,,Fafaya,GIN00600101,Koubia,GIN006001,Labe,GIN006,public,,
Bourouwil Centre (Non Fonctionnel),,Saramoussaya,GIN00700210,Mamou,GIN007002,Mamou,GIN007,public,,
Boussedou,,Seredou,GIN00800413,Macenta,GIN008004,Nzerekore,GIN008,public,,
Bouzouta,,Tounkarata,GIN00800309,Lola,GIN008003,Nzerekore,GIN008,public,,
Bowé-Nord,,Womey,GIN00800510,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Brouwal,,Bourouwal,GIN00500501,Telimele,GIN005005,Kindia,GIN005,public,,
Bureau Sous-Préfecture,,Daro,GIN00800404,Macenta,GIN008004,Nzerekore,GIN008,public,,
C.B.G,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,prive,,
Cab Dr Rachid TOURE,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cab Dr Yacouba Issiaga TOURE,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cab médico-social Amba France,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabdent de la police,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabdent Dr Alpha Oumar BARRY,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
CabDent Dr DIEING,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabdent Dr KEITA,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabdent ElH Malick BARRY,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabdent Mdou Alpha BAH,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabdentaire du marché,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabinet  Kadiatou,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabinet Coréen; Bambéto,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabinet D'Assistance Medico-Sociale,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Cabinet De Soins,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,public,,
Cabinet Duranteau,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Cabinet Medical Chirurgical Associatif De Kissosso,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Cabinet Medical Dr Brigith Accar,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
CABINET MEDICAL DR KEMO CONDE,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Cabinet soins ophtalmologiques,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,prive,,
Cabinet-Medical Carriere,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
CabInf Kadiatou,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CabInf Mme KOLIE Mamy Nioké,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Ballal Koin,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Brigitte ACCAR,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed comprestamed Dr CONDE,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Dr BAH,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Dr Chérif HAIDARA,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Dr Kémo CONDE,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
cabmed Dr Marie Hélène Koivogui,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Dr Sékou DONZO,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Dr Soufane MOHAMED,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Matoto Dr Bademba,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Mermoz,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Mme DOUMBOUYA,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Soutoura,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed St Luc,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Thérisido,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Cabmed Yasmin Dr Zaitouni Abdou BARRY,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Camp Des Réfugiés (Poste De Santé),,Ndema,GIN00300109,Dabola,GIN003001,Faranah,GIN003,public,,
"Cantre de Santé Dara-Labe, Kassagui",,Daralabe,GIN00600202,Labe,GIN006002,Labe,GIN006,public,,
CARAD Bambéto,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Carrefour,,Sangardo,GIN00300411,Kissidougou,GIN003004,Faranah,GIN003,public,,
Cedba,,Gouecke,GIN00800502,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre De Santé,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Alassoya,,Allassoyah,GIN00500301,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Albadaria,,Albadariah,GIN00300401,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Bady,,Badi,GIN00500201,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Balato-Centre,,Balato,GIN00400302,Kouroussa,GIN004003,Kankan,GIN004,public,,
Centre de Santé Balizéa,,Balizia,GIN00800401,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Banama,,Banama,GIN00300402,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Bangouya,,Bangouya,GIN00500401,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Banié,,Banie,GIN00800601,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre de Santé Bantignel,,Bantignel,GIN00700301,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Bardou 1,,Bardou,GIN00300403,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Beindou,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre De Santé Belle-Vue Coloyah,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Benty,,Benty,GIN00500302,Forecariah,GIN005003,Kindia,GIN005,public,,
CENTRE DE SANTE BETHEL,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Beyla Sobakono,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
Centre de Santé Bhèta,,Bheeta,GIN00800602,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre de Santé Bignamou,,Bignamou,GIN00800603,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre de Santé Binikala,,Binikala,GIN00800402,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Boffa Centre,,Boffa Ctre,GIN00100101,Boffa,GIN001001,Boke,GIN001,public,,
Centre de Santé Bofossou,,Bofossou,GIN00800403,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Boké Centre,,Boke Ctre,GIN00100202,Boke,GIN001002,Boke,GIN001,public,,
Centre de Santé Bolodou,,Bolodou,GIN00800201,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Bourouwal_Tappe,,Bourouwal,GIN00500501,Telimele,GIN005005,Kindia,GIN005,public,,
Centre de Santé Bowé,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre de Santé Bowounloko,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Centre de Santé Cacia (Kindia-kassia ?),,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Coyah Centre,,Coyah Ctre,GIN00500101,Coyah,GIN005001,Kindia,GIN005,public,,
Centre de Santé Dabompa,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Daka,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Centre de Santé Damakania Centre,,Sougueta,GIN00500410,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Daro,,Daro,GIN00800404,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre De Santé De Boom,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre De Santé De Boulbinet,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre De Santé De Fotoba,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre De Santé De Kouléwondy,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre De Santé De Matam,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,public,,
CENTRE DE SANTE DE OISEEN,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre De Santé De Room,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Diécké 1,,Diecke,GIN00800605,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre de Santé Ditinn,,Ditinn,GIN00700103,Dalaba,GIN007001,Mamou,GIN007,public,,
Centre De Santé Dixinn,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Donghol Touma,,Donghol Touma,GIN00700303,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Doumbouyah,,Coyah Ctre,GIN00500101,Coyah,GIN005001,Kindia,GIN005,public,,
Centre de Santé Dramela,,Manfran,GIN00300410,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Dubréka Cantre,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Dubréka Dogbéré,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Enta Sud,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Fafabhè,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Centre de Santé Faléssadé Centre,,Falessade,GIN00500203,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Fangamadou,,Fangamadou,GIN00800202,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Farmoréah,,Farmoriah,GIN00500303,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Fassankoni,,Fassankoni,GIN00800405,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Firawa,,Firawa,GIN00300406,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Flowaro-Douako,,Douako,GIN00400306,Kouroussa,GIN004003,Kankan,GIN004,public,,
Centre de Santé Forecariah,,Forecariah Ctre,GIN00500304,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Gaoual,,Gaoual Ctre,GIN00100302,Gaoual,GIN001003,Boke,GIN001,public,,
Centre de Santé Gongorè,,Gongoret,GIN00700304,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Gouecke,,Gouecke,GIN00800502,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Gueckdou Madina,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Gueckdou Sokoro,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Gueckédou Lélé,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Guedembou,,Guendembou,GIN00800204,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre De Santé Hafia I,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Sante Kaala,,Kaala,GIN00700104,Dalaba,GIN007001,Mamou,GIN007,public,,
Centre de Santé Kaback,,Kaback,GIN00500305,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Kakossa,,Kakossa,GIN00500306,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Kaliah Centre (Kalea),,Kaliah,GIN00500307,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Kankan-koura,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Centre De Santé Kaporo,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de santé Kassa,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Kassadou,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Khorira,,Khorira,GIN00500204,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Kindia-Bibané,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Kindia-Manquepas,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Kindia-Wondima,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Centre De Santé Kipe,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Kissi-Dar-Es-Salam,,Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Kissi-Madina,,Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003,public,,
Centre de Santé Kobaya,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Kobela,,Kobela,GIN00800503,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Kolenté,,Kolente,GIN00500405,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Koloma,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Koropara,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Kouankan,,Kouankan,GIN00800406,Macenta,GIN008004,Nzerekore,GIN008,public,,
"Centre de Santé Koubia Centre, Souloundè",,Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006,public,,
Centre de Sante Koule,,Koule,GIN00800505,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Koumana 1,,Koumana,GIN00400310,Kouroussa,GIN004003,Kankan,GIN004,public,,
Centre de Santé Koundou,,Koundou,GIN00800206,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Kouroussa,,Kouroussa Ctre,GIN00400311,Kouroussa,GIN004003,Kankan,GIN004,public,,
Centre de Santé Koyamah,,Koyamah,GIN00800407,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Sante la Grace,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Lambanyi,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Ley-Miro,,Ley Miro,GIN00700305,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Ley-Saré,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Centre de Santé Lola,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Centre de Santé Macenta Centre,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Macenta P Lumumba,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Maci,,Maci,GIN00700306,Pita,GIN007003,Mamou,GIN007,public,,
Centre De Santé Maciré,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de santé Madina,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Madina Oula,,Madina Oula,GIN00500406,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Maferinya,,Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Mambia,,Mambia,GIN00500407,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Manéah,,Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005,public,,
Centre de Santé Mangalla,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Matakaou,,Matakaou,GIN00600104,Koubia,GIN006001,Labe,GIN006,public,,
Centre de Santé Matoto Centre,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de santé mère et enfant de Coronthie,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
